ids,1cm_1,1cm_2,1cm_3,1cm_4,2cm_1,2cm_2,2cm_3,2cm_4,3cm_1,3cm_2,3cm_3,3cm_4,4cm_1,4cm_2,4cm_3,4cm_4,5cm_1,5cm_2,5cm_3,5cm_4
PaCtg0615g28439-t1_28439,0.720975071,0.742150678,0.737855708,0.7434115,0.713906265,0.740318343,0.735138009,0.739360042,0.741863778,0.741305347,0.736001304,0.71825751,0.750809697,0.747403495,0.743632692,0.749125188,0.736070038,0.733694182,0.709504729,0.739139803
PaChr9g25258-t1_25258,1.385544189,1.404585004,1.358820837,1.385904055,1.726683374,1.623086898,1.787459825,1.720561675,2.316146511,2.331190388,2.372734211,2.397161459,2.044230409,2.146055317,2.286353949,2.214679329,2.393898181,2.314808937,2.418461836,2.37566787
PaChr11g06085-t1_6085,0.724467982,0.745631663,0.742082649,0.745781322,0.716879916,0.741768452,0.738894147,0.742784148,0.745163519,0.741578667,0.738955649,0.720541575,0.751704768,0.74852349,0.744744736,0.750395176,0.733691653,0.734308997,0.708448275,0.737918684
PaCtg4424g41129-t1_41129,0.722181817,0.744220659,0.740044429,0.742568675,0.712969473,0.738286757,0.735284965,0.738563809,0.741763345,0.740656471,0.736928157,0.718330577,0.749659678,0.74817897,0.743414588,0.748074332,0.733429368,0.733648697,0.707835521,0.737084267
PaCtg0462g27438-t1_27438,0.719413189,0.741052265,0.737577998,0.740189692,0.714215622,0.73833105,0.737929814,0.739424721,0.739300751,0.738593734,0.735239953,0.716165219,0.749813934,0.74811476,0.744283625,0.748433553,0.732994218,0.733484234,0.707391903,0.736417014
PaChr8g23283-t1_23283,0.961398085,0.987875881,0.982493054,0.948634173,0.943801627,0.906079085,0.989877948,0.983481681,1.009093207,1.032158482,1.036640221,1.018735861,0.905743405,0.912006983,0.904220617,0.916355217,0.931968146,0.914957171,0.896997628,0.896433894
PaChr1g02839-t1_2839,0.725185417,0.749993432,0.739438654,0.746161017,0.715883613,0.742068131,0.737557758,0.740831419,0.748200276,0.748958803,0.747022911,0.727044365,0.757068526,0.756924625,0.752784334,0.757134168,0.746973021,0.740062758,0.719205384,0.749515768
PaChr2g08470-t1_8470,0.956109424,0.961511841,0.96798595,0.975402715,0.913323388,0.927102039,0.928913013,0.933044235,0.97923061,0.950867121,0.94750588,0.948235387,0.992167226,1.011299954,1.014627793,1.016635574,0.983841627,0.962538772,0.96923782,1.003698579
PaChr6g18915-t1_18915,0.723455871,0.744690616,0.740084307,0.745833868,0.719595073,0.74387968,0.741718695,0.745701455,0.747066935,0.743159828,0.738253974,0.721489678,0.750065589,0.748790772,0.743634439,0.748210878,0.734056504,0.734650707,0.708907388,0.738524683
PaChr9g24335-t1_24335,0.723821888,0.745583447,0.741075146,0.744961319,0.712564206,0.737621172,0.734989622,0.738383921,0.749625298,0.742159795,0.738847865,0.722229461,0.751354906,0.749742699,0.744330575,0.750075016,0.733544218,0.73456304,0.708454393,0.737832458
PaChr3g13041-t1_13041,0.741590853,0.764892388,0.760405787,0.757630038,0.721057902,0.746033361,0.743446729,0.745882657,0.743792736,0.743211255,0.742028599,0.721745099,0.753721365,0.754345618,0.746625647,0.753918323,0.735298903,0.736377805,0.710774384,0.740897649
PaChr1g00195-t1_195,0.727747189,0.747390948,0.747398149,0.74816122,0.724944098,0.746757574,0.750368338,0.749405869,0.739570482,0.741784161,0.741085203,0.71946716,0.750436004,0.749091088,0.741624775,0.749818866,0.734177953,0.73413879,0.70862869,0.7381104
PaChr12g07357-t1_7357,0.727349372,0.746194575,0.752845062,0.742518132,0.718948609,0.745293064,0.739075126,0.74506319,0.739977681,0.740195893,0.736260287,0.717320297,0.74907936,0.74965644,0.743601648,0.747319415,0.732657748,0.733998861,0.707332358,0.736073625
PaChr7g20064-t1_20064,0.72812069,0.749373286,0.747049034,0.74758308,0.725782881,0.751783108,0.746891278,0.750266324,0.749503755,0.750005538,0.74823527,0.728289372,0.756279884,0.754889686,0.748662373,0.754742426,0.733933284,0.737132905,0.709997446,0.739300563
PaChr10g04597-t1_4597,0.983340951,0.989094644,1.002208096,0.992091043,0.99609323,1.008431213,0.999789329,1.019946279,1.042886057,1.022956983,0.984839267,1.008469607,1.007710989,0.967075283,0.932724456,0.965447533,0.948890941,0.912041772,0.913329811,0.929092991
PaChr6g19403-t1_19403,0.72816894,0.749848601,0.746548184,0.747757891,0.718952057,0.744793336,0.741025719,0.743429138,0.743031026,0.742869932,0.741694665,0.721246149,0.751654836,0.752771292,0.748238578,0.752614397,0.740345161,0.738747484,0.715311976,0.746419166
PaCtg0564g28138-t1_28138,0.760272892,0.783388794,0.773440177,0.780448281,0.738357295,0.7676287,0.753579396,0.764126254,0.745083052,0.741135045,0.740856455,0.721042799,0.750471602,0.748351416,0.7432037,0.748337924,0.732463076,0.73585437,0.707641343,0.735299323
PaChr2g08151-t1_8151,0.907884517,0.926968125,0.915056996,0.922985057,0.94578031,0.968976372,0.962425389,0.949271303,0.948498776,0.936962798,0.942000473,0.930921292,0.948090072,0.947364546,0.957095656,0.944858702,0.923535977,0.889005397,0.887528151,0.903879408
PaChr1g03196-t1_3196,0.732344338,0.751444353,0.751035727,0.753842609,0.728268002,0.749520266,0.751092563,0.755876676,0.749654864,0.742964983,0.748793183,0.726093083,0.757974212,0.756504884,0.750993795,0.756419705,0.737792566,0.738367477,0.713553701,0.744352474
PaChr4g15460-t1_15460,0.750686975,0.77250129,0.767404988,0.769505512,0.778730968,0.784641711,0.807795177,0.810008312,0.812035192,0.804180692,0.816733706,0.793107705,0.792621426,0.792520312,0.791017813,0.785384735,0.750797634,0.764024441,0.731945793,0.75824879
