ids,log2FC_T6_T0,transformed_pval,adjusted_p_values_BC2,adjusted_p_values_bh2,adjusted_p_values_by2
PaCtg3573g39828-t1_39828,-0.001887717008632169,2.595415040663284,-0.7060490324800157,1.7105397230772914,0.7978200092825265
PaChr4g14379-t1_14379,-0.0015571090835480856,3.167355202468589,-0.13410887067471092,1.9588098619416523,1.0460901481468872
PaChr12g08016-t1_8016,-0.003053551324074254,1.3948955297042949,-1.906568543439005,1.0881884011486231,0.17546868735385804
PaChr3g13351-t1_13351,-0.001200714805151858,1.302285872514901,-1.999178200628399,1.0363359214376873,0.12361620764292228
PaCtg1084g31549-t1_31549,-0.00037440076456213717,0.09599026168811081,-3.205473811455189,0.08120715789974117,-0.0
PaChr7g21190-t1_21190,-0.002782021217137806,1.7741183846148165,-1.5273456885284833,1.3226875691612858,0.4099678553665207
PaChr3g11729-t1_11729,0.011611478799580879,1.2095613415730304,-2.0919027315702694,0.9789261677554503,0.06620645396068521
PaChr8g23587-t1_23587,-0.001187125826971717,0.8409399500736204,-2.4605241230696793,0.7182621311742133,-0.0
PaChr3g12841-t1_12841,-0.0030823350934746484,1.3011151840699724,-2.0003488890733276,1.035880655012967,0.12316094121820192
PaChr10g04971-t1_4971,-0.0020292905417601858,0.7697669962619308,-2.531697076881369,0.6630946808405556,-0.0
PaChr5g17084-t1_17084,0.0006925665858829033,0.1510793292156689,-3.150384743927631,0.12928220012082456,-0.0
PaChr4g14521-t1_14521,-0.0009947623593427864,0.6657494447144077,-2.635714628428892,0.5724578982382295,-0.0
PaChr7g20613-t1_20613,-0.0028078103187014697,1.734135044911215,-1.5673290282320846,1.2983670316839857,0.3856473178892207
PaChr4g15325-t1_15325,0.01090454468153191,1.5078757779300178,-1.793588295213282,1.1580486748027545,0.24532896100798954
PaCtg0728g29416-t1_29416,-0.0030463733542249213,1.7114057776883622,-1.5900582954549376,1.2826805320177312,0.36996081822296617
PaCtg0326g26672-t1_26672,-0.002358345734487157,3.667601660069056,0.3661375869257562,2.162999928437677,1.2502802146429117
PaChr4g14696-t1_14696,-0.000539427298697083,0.17414149647654598,-3.127322576666754,0.14959855539902006,-0.0
PaChr9g24177-t1_24177,0.0005276054408208448,0.48181216070228217,-2.8196519124410178,0.4171371869682753,-0.0
PaCtg2476g37435-t1_37435,0.029385205709462108,1.5547901256351997,-1.7466739475081001,1.1852921672200725,0.27257245342530745
PaCtg0968g30909-t1_30909,-0.0016198149823273538,0.9347524796213814,-2.3667115935219183,0.7877123795927284,-0.0
