Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3,cv1,cv2,means1,means2
4.874872846,4.818138469,4.845695257,4.783056801,4.786156292,4.447794396,0.285153788,3.398296228,4.831916863,4.67233583
4.910270418,4.779901494,4.846247984,5.05246842,5.036670082,4.433074593,0.689231869,5.956395654,4.813074739,4.840737698
4.863281585,4.850555569,4.8556584,4.951239161,5.026867194,4.844801971,0.052572828,1.511478886,4.853106984,4.940969442
4.796763753,4.914696089,4.856156963,5.375625763,5.243931534,5.550572655,0.599119911,2.330225109,4.885426526,5.390043317
4.830203265,4.884319057,4.85628558,4.952827668,4.927573105,4.735800969,0.287800168,1.988988158,4.870302318,4.872067248
4.911808977,4.801749794,4.857281761,5.174259672,5.243974976,4.516246443,0.574922713,6.585969864,4.829515778,4.978160364
4.924917334,4.787149467,4.857506556,5.094622642,5.171271634,4.507249056,0.729492981,6.023338147,4.822328012,4.924381111
4.854498425,4.864738408,4.858324992,4.70310784,4.845093957,5.035823438,0.065960859,2.804073386,4.8615317,4.861341745
4.919104527,4.797984142,4.859415113,4.995991111,5.02132541,4.418457799,0.636102628,5.785945381,4.828699628,4.811924773
4.879505917,4.848609077,4.862949156,4.373693755,4.577299262,4.661065499,0.147659921,2.659513306,4.855779116,4.537352838
4.823553557,4.903619182,4.863060873,4.960555014,4.790580431,4.636115777,0.415272211,2.762908675,4.883340028,4.795750407
4.851669833,4.877134732,4.863172578,5.252008182,5.260237675,5.412884126,0.14334409,1.393538445,4.870153655,5.308376661
4.859076233,4.872303648,4.864416369,4.846410088,4.891825,5.303449552,0.081005509,4.100281784,4.868360009,5.01389488
4.798915883,4.928926588,4.86475095,4.421698627,4.601877775,4.85348421,0.6552762,3.828141939,4.896838769,4.625686871
4.917368465,4.819077733,4.868407514,4.676217746,4.51033599,4.578875118,0.50921142,1.483289678,4.843742624,4.588476285
4.842708373,4.896459182,4.868629622,4.793138551,4.86673757,4.821728101,0.284990346,0.627587296,4.882544402,4.827201407
4.846342415,4.896921784,4.870642024,4.349494864,4.428838553,4.527521757,0.269051323,1.641878297,4.883781904,4.435285058
4.879537142,4.86540841,4.871259129,4.640725311,4.76511711,4.925893749,0.060089538,2.443562415,4.86833377,4.77724539
4.852249124,4.892688147,4.871369848,4.73083245,4.668528791,4.786872945,0.218334422,1.022181352,4.882028998,4.728744728
4.760830531,4.974662322,4.872365722,4.558279474,4.920988572,4.360771766,1.038857605,5.0288564,4.923514022,4.613346604
4.860958296,4.886254665,4.87239732,4.86025057,5.033242446,4.958130224,0.142000612,1.430696636,4.879325993,4.95054108
4.921732299,4.831896776,4.876794643,4.700404227,4.403546133,4.751018228,0.462450246,3.318722512,4.85434571,4.618322863
4.871319539,4.899631105,4.884311436,4.852881746,4.871340604,4.883606666,0.156579715,0.259341196,4.89197127,4.869276339
4.84540285,4.924326851,4.884358224,5.03092103,5.037693277,4.762366284,0.407482009,2.593705075,4.904342538,4.943660197
4.882592,4.889181653,4.884654499,4.694233002,4.826378302,5.032167962,0.046319109,2.866443654,4.886918076,4.850926422
4.901716163,4.874295956,4.886927981,4.731131639,4.695689981,5.005923334,0.129410257,2.881962478,4.880611969,4.810914985
4.951770236,4.819781555,4.887114595,4.916108508,4.79278458,4.185932852,0.693661902,6.890408047,4.853448075,4.631608647
4.91712875,4.860034817,4.88789175,4.869138426,4.800752501,4.945338916,0.285772901,1.212212642,4.873963283,4.871743281
4.87056307,4.908412965,4.888404315,4.707263364,4.704849039,5.015272442,0.204236223,3.031095393,4.89840864,4.809128282
4.895907289,4.893524035,4.89351446,4.497712475,4.46579628,4.590806634,9.78E-05,1.17379463,4.893519247,4.518105129
4.910632664,4.891138227,4.899778481,4.764718347,4.783618663,5.289395155,0.08824765,4.913204446,4.895458354,4.945910722
4.897684435,4.906553332,4.90092819,4.96688807,4.814610143,4.721447668,0.057355628,2.092639152,4.903740761,4.834315293
4.922060243,4.887470169,4.903803891,4.723471361,4.762412494,5.261870916,0.166819166,4.986687938,4.89563703,4.915918257
4.88436412,4.93127746,4.906868636,4.91243233,5.109768786,5.006825438,0.248103898,1.608636598,4.919073048,5.009675518
5.001162377,4.817937074,4.913225052,3.673086735,3.685833598,3.454621618,0.9792045,2.944019127,4.865581063,3.604513984
4.923936211,4.907224446,4.914494161,4.928982421,5.012633895,5.020825875,0.074016727,0.832073958,4.910859303,4.98748073
4.83709909,4.993376568,4.917117538,4.311130335,4.419801773,4.430222292,0.769477575,1.227536118,4.955247053,4.387051467
4.965662417,4.868337982,4.917298189,5.017384354,5.041962645,5.165672872,0.500327277,1.27864244,4.892818085,5.075006624
4.981586838,4.853112238,4.918651951,4.63849095,4.691602631,4.273974815,0.670705018,4.093418777,4.885882095,4.534689465
4.984516257,4.85333844,4.92033389,5.150935385,5.289114507,4.583411383,0.685468557,6.097631113,4.886836165,5.007820425
4.898235263,4.951272871,4.923912907,5.461373507,5.287059134,5.563101366,0.277057722,2.096401348,4.937592889,5.437178002
4.912712807,4.947833475,4.929263225,5.007317296,4.983310149,5.019676047,0.188013237,0.301753752,4.93854835,5.003434497
4.938046354,4.93861935,4.937238963,4.913076713,5.029992342,4.676238224,0.013977387,3.01983531,4.937929157,4.873102426
4.982620168,4.891696495,4.937342097,4.725693481,4.473483811,4.81302623,0.464395394,3.082215477,4.914519296,4.670734507
4.911808977,4.966624967,4.938431675,4.760093707,5.008313607,5.105629048,0.284635343,2.934226732,4.952528321,4.958012121
4.950008062,4.941975071,4.944942578,4.790164226,4.870441098,5.059084877,0.030014476,2.29730065,4.943458825,4.9065634
4.978199485,4.913182288,4.945307837,5.059158031,5.220162489,4.529840949,0.325866823,5.973809093,4.929245063,4.936387156
4.962929178,4.93127746,4.946227657,4.90787824,4.906535742,5.175706932,0.151355998,2.533133785,4.938752559,4.996706971
4.869111415,5.020365459,4.946461118,4.959329934,5.171295044,5.063931389,0.741503233,1.708575905,4.983413289,5.064852123
4.973362946,4.925015261,4.948530533,4.378375919,4.295062326,3.986987568,0.238164408,3.988893825,4.936772897,4.220141938
4.994600399,4.908687024,4.951742159,5.654781282,5.591642351,5.132501115,0.436645652,4.2631909,4.930214591,5.459641583
4.931402013,4.983110002,4.956474064,4.700906938,4.701690457,4.543715891,0.267978388,1.597969318,4.969792033,4.648771095
5.031600973,4.878833852,4.95759925,5.261482938,5.001404662,5.002092739,0.80075162,2.406296239,4.918216551,5.08832678
4.982480596,4.942768093,4.961885624,5.172630692,5.213641021,5.476644818,0.193015645,2.547299692,4.952326859,5.287638844
4.982480596,4.942768093,4.961885624,5.172630692,5.213641021,5.476644818,0.193015645,2.547299692,4.952326859,5.287638844
4.96988867,4.956234852,4.962086516,4.979741065,4.895743421,4.296576686,0.058998529,6.439164272,4.959160684,4.724020391
4.932817221,4.995683042,4.963634804,4.936071641,4.705271922,4.738772523,0.321791501,2.124318931,4.979658923,4.793372029
4.954565463,4.981815273,4.967223286,4.870616807,5.112286017,5.188709197,0.14666731,2.680845793,4.974519279,5.057204007
5.055104904,4.875211619,4.968834342,5.076038709,4.750307075,4.613405629,0.951059393,4.031423537,4.922022981,4.813250471
4.941321427,5.00174192,4.970897579,4.76435789,4.95580973,4.59650122,0.309289638,3.075976867,4.98631975,4.772222947
4.929422969,5.023631734,4.976537587,4.845849484,4.676338052,4.713024038,0.47093349,1.534610131,5.000084661,4.745070525
4.989128695,4.968426504,4.97789293,5.487386847,5.122363328,5.281657879,0.09517517,2.820799764,4.973159717,5.297136018
4.924947049,5.030960042,4.978259666,4.368086696,4.539748009,4.29884533,0.526518328,2.300371385,5.004609854,4.402226678
4.963784185,4.994599978,4.978273768,4.790129177,4.740632407,5.17369548,0.163706176,3.948581596,4.986436873,4.901485688
4.996114598,4.964676574,4.979612526,4.912370937,4.767311023,5.129303447,0.150196271,3.013384902,4.97214455,4.936328469
4.976318492,4.987655606,4.981005623,5.479057857,5.196687006,5.497029302,0.06670889,2.551373522,4.984330614,5.390924722
5.052415985,4.912576081,4.984430315,4.551364738,4.455509209,4.581231804,0.726019877,1.184070898,4.948503198,4.529368584
4.912562231,5.059383449,4.987591264,5.098054329,5.116185876,5.276933317,0.714565196,1.556865067,5.023487356,5.163724507
4.9928353,4.985413599,4.988191481,4.853045412,4.723085019,4.693187773,0.027852335,1.458919333,4.98680254,4.756439401
4.976655667,5.006116636,4.990491088,4.942394225,4.975755952,4.827277694,0.156308509,1.294066578,4.998303862,4.915142624
4.992144894,4.991984403,4.991117278,4.742686981,4.725644657,5.015298716,0.008685932,2.748823725,4.991550841,4.827876785
4.957725087,5.02664507,4.99172915,5.480552749,5.104814763,5.140424399,0.348518826,3.230802394,5.00918711,5.241930637
4.974715225,5.016192039,4.994657831,5.379414052,5.380938929,5.525966797,0.215108685,1.266013989,5.005424935,5.428773259
5.028869825,4.963126444,4.995779693,5.273847388,5.17710678,4.876254484,0.327879884,3.313641415,4.979453069,5.109069551
4.999190432,4.99512778,4.996236365,4.923235485,4.978051488,5.269492177,0.011095433,3.005056732,4.995682072,5.056926383
4.979012461,5.016735081,4.997052286,4.920287769,4.950188463,4.919318001,0.196556949,0.290660618,5.006893684,4.929931411
4.966401278,5.032402918,4.998916566,4.873214308,5.278710357,4.848790464,0.333818011,3.943046359,5.015659742,5.000238377
4.966486493,5.033736961,4.99964746,4.915863882,4.738003053,4.739308487,0.339760737,1.741208647,5.016692211,4.797725141
5.057992027,4.940033748,5.000198703,4.762842414,4.624671788,4.168327613,0.60526708,5.621894478,4.970116226,4.518613939
5.023890747,4.977665817,5.000240033,4.39848809,4.782947846,4.941528746,0.226242019,4.843146559,4.988952925,4.707654894
5.065732754,4.933207311,5.001176364,5.034807016,4.530144339,4.516108023,0.684179862,5.140452344,4.967191837,4.693686459
5.020520763,4.992263,5.005652352,4.741393847,4.825737786,4.926067676,0.133921429,1.562530189,4.998957676,4.831066436
5.010363941,5.004000589,5.006295911,5.004818333,5.190877358,4.858090985,0.022929613,2.713776904,5.00514825,5.017928892
5.058609536,4.959759043,5.009807195,4.808726068,4.896900133,4.392189884,0.502009323,4.683776164,4.984783119,4.699272028
5.010716032,5.013036241,5.010979261,5.010694195,4.760098255,4.667561541,0.020520524,3.011824561,5.012007751,4.812784664
4.958355715,5.064379218,5.011741683,4.674507765,4.833495287,5.029145049,0.522398802,2.99311227,5.038060451,4.845716034
4.991426325,5.042785518,5.01646582,4.764646267,4.915246403,4.850746555,0.261646683,1.273709048,5.029625669,4.843546408
4.994490179,5.044447857,5.018819042,5.142126952,4.964600867,4.978764833,0.254676891,1.601987914,5.031633449,5.02849755
4.987436433,5.05161794,5.019062144,5.092116742,4.904275622,4.901296644,0.323273071,1.797451748,5.035340042,4.965896336
4.990070583,5.052454863,5.020775585,4.939745157,5.158498647,5.09105985,0.314489756,1.806556707,5.036615224,5.063101218
5.268477741,4.689139965,5.023292875,6.004171918,4.399070078,4.597047622,3.440465591,14.29120686,4.85621642,5.000096539
5.046936654,5.00063817,5.023319761,4.837732067,4.792260259,5.251218492,0.226273811,4.162431368,5.011978966,4.960403606
5.031521538,5.018552008,5.024233451,4.671717127,4.77064582,5.137023843,0.056572382,4.118428174,5.02139273,4.859795597
5.023970836,5.029139962,5.0256962,4.78174894,4.759844782,5.050250646,0.034249809,2.71464522,5.027418081,4.863948123
5.010824341,5.044974977,5.027129908,4.297262528,4.63925204,4.09386485,0.177173182,5.181052721,5.036052442,4.343459806
5.037907597,5.0220135,5.029189562,4.938134178,4.926695814,4.656720948,0.071395052,2.686640435,5.025601531,4.84051698
5.01425659,5.046265186,5.029483431,5.119644459,5.283227543,5.717189719,0.166555908,4.692297819,5.037874309,5.373353907
4.999135595,5.064430851,5.031364703,4.951739539,5.177199856,5.107650981,0.327523948,1.856080795,5.047897777,5.078863459
5.022688583,5.044368764,5.03270998,4.939089169,4.939680389,5.0279279,0.115696062,0.840031648,5.038539372,4.968899153
5.001928114,5.066905941,5.034000179,5.10665452,4.956455056,4.85077807,0.325770395,2.111862033,5.05045306,4.971295882
5.090667872,4.978881494,5.035872488,5.160489224,5.160228876,4.605743623,0.569070332,5.254726392,5.007376991,4.975487241
5.072802091,4.999505487,5.036217331,5.164232473,5.158617255,4.566385321,0.365811659,5.652010262,5.017861409,4.96307835
5.017138516,5.057122875,5.03642948,4.73176709,4.815940265,5.112745616,0.205015975,3.34387811,5.046776178,4.886817657
5.044537445,5.030237781,5.036628327,4.748501802,4.737149673,4.791330455,0.063480986,0.490235733,5.033433054,4.758993977
5.02567776,5.057539016,5.040860452,4.923690484,4.96567587,5.009103259,0.165160464,0.702178352,5.049199734,4.966156538
5.055982297,5.039266558,5.046911149,5.136628447,5.043087211,4.942667789,0.07579274,1.571194809,5.043088854,5.040794482
5.029055691,5.066493872,5.047081586,4.833495925,5.102629874,5.163751419,0.19194286,2.850303965,5.056787729,5.033292406
5.083331977,5.010935623,5.047212671,4.913230071,4.829943616,5.180420103,0.360673224,3.005373008,5.029074147,4.974531263
5.035748629,5.064095188,5.049176764,4.883405266,4.898117823,5.157738035,0.147513325,2.53018879,5.056635976,4.979753708
5.068103631,5.039001448,5.052962498,4.802246163,4.8263109,5.048833296,0.138338285,2.268913768,5.045981973,4.892463453
5.038564825,5.069220518,5.053170926,4.802695718,4.973195594,5.156589276,0.158555339,2.903236334,5.061195722,4.97749353
5.060972879,5.054465696,5.056979682,4.866529424,4.996779912,5.060136293,0.024862773,1.620208281,5.055722689,4.974481876
