ids,Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3
PaCtg0770g29771-t1_29771,1.1446610012128102,1.0224722799597126,1.085175181264168,0.8204657135395013,0.9699347657474083,0.23505797203279422
PaChr7g20481-t1_20481,0.9769084685850411,1.1912414458154483,1.0889081039589867,1.233365427632011,1.004335971517623,0.8814164547126097
PaCtg0693g29139-t1_29139,1.1457399036506202,1.033043492562763,1.0907002268248422,0.8783238240864033,0.7832303550973898,0.8200988736407747
PaChr12g07929-t1_7929,1.1432048734840763,1.0520364934271071,1.0983197001897256,1.1926367756954797,1.1281586154319903,0.6795703226075737
PaChr3g12555-t1_12555,1.1262000014775115,1.0749569756962736,1.100428889501808,1.2464595645858942,1.012606262995512,0.7720575459388698
PaChr12g07557-t1_7557,1.092877326731455,1.1176498360319076,1.1046579914631007,1.1474026342839525,1.2177778540005377,0.8647243969511448
PaChr3g11518-t1_11518,1.1586145873454339,1.048315385154711,1.1047443563741255,0.910158077587104,0.8788560461934927,1.1584356064762409
PaChr5g16490-t1_16490,1.091413213986992,1.122934044078211,1.1066054688585358,0.9834746084738979,1.1016236537845407,0.7605547562115351
PaChr5g17129-t1_17129,1.0758371678768677,1.14014228636089,1.107749912014095,1.1673992366381718,1.0358884809143747,0.932796098580515
PaChr11g05410-t1_5410,1.1050473181924336,1.1117714574984423,1.1077868066791405,1.2209771154579414,1.2788151580329887,0.9713505342108151
PaChr7g21107-t1_21107,1.1362455587457565,1.0907326305797393,1.1132926815152766,1.1698316854272097,1.1355969049956718,0.5179978393066461
PaChr3g14053-t1_14053,1.1046066364408011,1.1242445009750468,1.1138305274091382,0.9319027495865928,1.0234039553379812,1.083602650893046
PaChr3g14148-t1_14148,1.1296399247839601,1.1007756536238418,1.1148076532132312,1.3181268349336248,1.1462752951145427,1.0229648845734718
PaChr3g12491-t1_12491,1.1038471993636618,1.127512841307462,1.1151005960087246,1.1690137633757094,1.2739194709788948,1.045534550826771
PaChr12g07440-t1_7440,1.1357244947501444,1.0978884690901138,1.1165152203061586,0.6239989776321833,0.8660596825500647,1.1545585829752723
PaChr8g21930-t1_21930,1.096292961146994,1.1394025473041778,1.117392209879866,0.7868988527926919,0.8291711725832955,0.8134863454393572
PaChr7g20093-t1_20093,1.0959470139313319,1.1405953938645506,1.1178304027922956,0.9370586417196984,0.9664015298236663,1.1793430224351136
PaCtg1852g35397-t1_35397,1.0626646440892955,1.1724639707411257,1.1182683947158067,0.907723994291314,0.9740306311139888,0.873155305367561
PaCtg5711g42563-t1_42563,1.129973692506011,1.1104930455572093,1.1197633532881448,1.083408663052526,1.073737145330957,1.1497802529706527
PaCtg0868g30302-t1_30302,1.034667264352947,1.2058361634534587,1.1230609935137834,0.9614582091504873,1.5195173446375176,1.7650771784148749
PaChr1g00990-t1_990,1.3283153988092073,0.8658229319539467,1.125659554581931,1.0328930132820442,0.4374733389644068,0.07264759818729366
PaCtg5172g42072-t1_42072,1.109442799911212,1.1447587515640698,1.1266126025431782,0.9639302408629155,1.2764859352789355,1.248689582175131
PaCtg2680g37902-t1_37902,1.3321984422849786,0.8739800014984305,1.1311716547189674,1.8610214498457687,0.46719897049995074,0.7300082124267293
PaCtg1105g31693-t1_31693,1.2002999066399498,1.0754930048134999,1.139785152063116,0.5433365353080866,0.34338428603392235,0.6917563218843408
PaChr5g15696-t1_15696,1.1046311241869762,1.1789699617895018,1.1418048315177685,1.0478316908412701,1.3045061539040528,1.2525820907406318
PaChr9g23977-t1_23977,1.1789738707622965,1.1185040979362415,1.148911047409329,1.1105154931354155,1.3075434833489825,0.9060507233321714
PaCtg0375g26917-t1_26917,1.3723601615219019,0.8708145403494243,1.1551928604434123,1.9729445811286614,0.3711667206143952,0.711366476888737
PaChr2g10154-t1_10154,1.1619846148247657,1.1505573711715718,1.1558597188120099,1.0659829963450593,1.2799672251074286,1.3822416975777232
PaChr11g05877-t1_5877,1.1195232646480873,1.1925753067106288,1.1560702094001114,0.9595925867326037,1.1213282892978351,1.3006708193195664
PaChr2g09287-t1_9287,1.172820831480813,1.1461109381798353,1.1591870762392653,1.3267217103666955,1.1252407841088314,0.9222917428060713
PaChr1g01801-t1_1801,1.1382796859528772,1.1843621707286274,1.1610151256894021,1.0679091088490154,1.0738148814771027,1.051968774980505
PaCtg2194g36636-t1_36636,1.1667192466809178,1.1573996725365872,1.161654702696858,1.005429805217871,1.1137037220912007,1.279446808137595
PaChr6g19864-t1_19864,1.1540017537823053,1.1766071233217674,1.1648693851102503,1.073767387525368,1.2972108590407014,1.2334543393269655
PaChr10g04689-t1_4689,1.1786796175216434,1.1575636672610126,1.1678192679690025,1.3343356182488553,1.1346246629852534,0.931846183190176
PaChr7g21178-t1_21178,1.1627676941214482,1.1821951921285754,1.1720604517320368,1.0855804371358477,1.3056080179063978,1.2524600581116638
PaChr6g19121-t1_19121,1.140804406792621,1.2059698656234963,1.1733360568195084,1.085708033619521,1.3241128727899631,1.2505461406210872
PaChr2g08246-t1_8246,1.1660770946704957,1.186478837315864,1.1758707472344565,1.2129042085983996,0.8491146101538923,0.7830392084637963
PaChr6g19550-t1_19550,1.1536763832159331,1.2036497482180541,1.1784444700648498,1.1645613660653185,0.9632917776576196,0.1336920108794979
PaChr5g18092-t1_18092,1.1286856504015235,1.2271720831052055,1.1785015857669852,1.160135328714118,1.0419090605890815,1.182899245020085
PaChr2g09784-t1_9784,1.142170127240213,1.2165627107582098,1.1794720342839573,0.9727182463055771,1.079369567026127,0.9344345161035104
PaChr1g00197-t1_197,1.1687117279675605,1.191987730035295,1.1799625944875631,0.29095155685750035,0.12839457389570852,0.08880451334223809
PaCtg0822g30047-t1_30047,1.127132888998208,1.2329972748004345,1.1808176246945754,1.1222016376980217,1.3179698246197544,1.2046843983136917
PaChr10g04547-t1_4547,1.1610625139001651,1.2018612575262342,1.1811708153992144,0.8317892931331617,0.8142687781331326,0.8924650151630558
PaChr3g12397-t1_12397,1.1593080402345635,1.2075728558852776,1.1832190428810516,0.8835952782166641,0.9729362948490594,1.128095657886295
PaChr10g04714-t1_4714,1.2998298129942236,1.0578510017244835,1.1868496106916382,1.306581322822614,1.4469669622532741,0.6659323356590857
PaCtg1337g33023-t1_33023,1.1633660821712246,1.2128749872963813,1.1879248057380971,0.9006941101981887,0.985843279019216,1.1362408692744737
PaChr3g13109-t1_13109,1.3233665379738853,1.049941884495474,1.1968981786574513,1.0699869877649197,1.008563389760717,0.27667305602971415
PaChr11g06464-t1_6464,1.1704716951425176,1.2255574691305218,1.197906253759672,0.9763652270877236,1.1397421981891973,1.2893169220562328
PaChr5g17878-t1_17878,1.190244893122941,1.2063708615924,1.1979622270450014,1.1604892235581927,1.3468819645570136,1.3046241939855647
PaChr2g11188-t1_11188,1.1775696868861167,1.2273464754955778,1.2023070218688898,1.1023265542951062,1.2132375762104906,1.2938632050001662
PaChr4g15231-t1_15231,1.2000564650458168,1.206192661627059,1.2027972344012139,1.0276432742785342,1.0893893615366395,1.1976156498898645
PaChr9g25122-t1_25122,1.1873331251438857,1.2471105780198881,1.2172244696861292,1.301622948686828,1.0837132603106021,1.0264755630648834
PaChr6g19729-t1_19729,1.3004078687238123,1.1312035682532322,1.2198216291442632,0.7832687101212944,0.6577007201552741,0.3489484324117268
PaChr6g18759-t1_18759,1.1780228768927707,1.2608961188265433,1.2198216291442632,1.0340257101095038,1.0380699659451391,1.4122313184560558
PaChr5g17640-t1_17640,1.3158854566677212,1.120648602864978,1.2236116821442546,1.365565848479083,1.2379396783693117,1.601035595113444
PaChr1g00772-t1_772,1.2374484492121802,1.2127422332307554,1.225016886478229,1.2357891874110585,1.4450383532082178,1.4397408042537847
PaChr11g05713-t1_5713,1.213375817746701,1.2393692749902252,1.2261374078829599,1.1545263183402652,1.1681059389909476,1.3669758232389329
PaChr8g23374-t1_23374,1.242499991516102,1.21070439411832,1.226604814730539,1.0430919753903392,1.0486902041310995,1.6113288156819165
PaChr1g03279-t1_3279,1.2135067640680197,1.2401655400365683,1.226604814730539,1.0349147313951095,1.0573761357996194,1.0977369490701998
PaChr4g14886-t1_14886,1.2661056431394326,1.1855234967331538,1.2266917492420482,1.416766529719088,1.4301748819848,0.8693665602799495
PaChr7g21120-t1_21120,1.2558485164116282,1.1987907828434035,1.2277017902971634,0.9978416471580189,1.0863509553064241,0.5058959529036325
PaChr8g23682-t1_23682,1.2317921781083176,1.2419064459050122,1.2366267518884837,1.2684863701859441,1.1662250632541926,1.149076146624007
PaChr6g19066-t1_19066,1.1988604821993718,1.275859509417709,1.237669465337855,1.0994386252325894,0.9309234632267025,1.048199842614524
PaChr5g17938-t1_17938,1.2291339014621825,1.2492654645834205,1.2389900576651354,0.8422137782651956,0.7963072832637651,0.6115481000080788
PaChr9g25313-t1_25313,1.2205945608300741,1.258429050518166,1.2393762323311692,1.1497672055069548,1.2582704447267095,1.3501963997034052
PaChr1g02919-t1_2919,1.1998129610356656,1.2817112474413472,1.241165644180389,1.0553186161624508,1.0572443207110658,1.4312033509872626
PaChr12g07752-t1_7752,1.2728968325077978,1.2091287834772988,1.2415723548459228,1.13653169812546,0.9739442822476853,0.9862276988315704
PaCtg2722g38018-t1_38018,1.2601807192004055,1.2353349171757024,1.2477589660498332,1.2335184576200489,0.9826544143663554,1.0372097275407968
PaChr9g24582-t1_24582,1.2494602946576059,1.2564847452646333,1.252806944885727,1.270045178608445,1.3940384860998647,1.312195352071884
PaChr4g14681-t1_14681,1.2511610077601043,1.2666494261635262,1.2587543870496571,1.0365558677763003,0.8107453804846386,0.7534120054585094
PaChr3g13346-t1_13346,1.2286185388347906,1.289064039187775,1.258975132688511,1.540397053171311,1.4064516954155484,1.6841872852891555
PaChr12g07243-t1_7243,1.1871087722729101,1.3323733018285338,1.2618402717023274,1.3277337332314383,1.4230846220292268,1.2864962075374708
PaCtg1139g31877-t1_31877,1.2644313255509647,1.2647843642387353,1.2644984415939577,1.1783663366496262,1.4201108158514129,1.3937517944342266
PaCtg2145g36498-t1_36498,1.2179699704828044,1.3173000099425676,1.2684617111391034,1.2594634820001505,1.3607463251784964,1.3052590479307788
PaChr9g25243-t1_25243,1.2690955842949134,1.269450799654367,1.2691796280843006,1.1284183148513858,1.4052910798812048,1.3856050816490897
PaCtg1448g33662-t1_33662,1.272978855273711,1.2657068622931915,1.2692836300732604,1.2474080997429149,1.355390688290237,0.8647864506572472
PaCtg0746g29563-t1_29563,1.24190707841099,1.2967072709849716,1.2694084177846392,1.504235611745805,1.4027625042105318,1.7923370811810038
PaChr4g14642-t1_14642,1.28882048011534,1.2675701658921585,1.2782689101405749,1.085988685403455,1.1600157281027976,1.2527041075171417
PaCtg0309g26611-t1_26611,1.255785888907656,1.3064647969831105,1.2812217001675479,1.2032752418169732,1.1015481446481372,1.244575774371831
PaChr12g08035-t1_8035,1.2582045034094698,1.304492838617039,1.2814065946156055,1.113320410130237,1.1446642211849858,1.4022290615264714
PaChr2g09151-t1_9151,1.2791921308597614,1.2848192988054346,1.2819405371040355,1.361301963186349,1.4936553513258342,1.2511573892188868
PaChr6g19371-t1_19371,1.3310216576266292,1.2503943443095105,1.2918270468029636,1.1751892738111807,1.278395887833298,1.2177140720751694
PaChr2g10626-t1_10626,1.3214773383103628,1.266984340994745,1.2948100308557327,1.187857690866333,1.0477053998195576,1.2014037632563304
PaChr12g07437-t1_7437,1.357280607376935,1.231240350733983,1.296773412145492,1.2126138351465907,1.1953634599222542,1.0760599908111543
PaCtg0806g29975-t1_29975,1.257266973947716,1.34327707388835,1.300919946483176,1.23888099157535,1.1842475882772354,1.4994492673723665
