id,T0_1,T0_2,T0_3,T6_1,T6_2,T6_3
XP_044479512.1,80395692.62,67435925.22,71659958.52,80548276.78,53703045.39,73534708.19
XP_044467946.1,7157562.851,1343413.5299999993,7349060.607000001,1819422.381000001,2497691.069,3755337.149
XP_044481606.1,28717452.2,15403084.01,21299516.93,21912655.6,20279405.41,28514390.3
XP_044511977.1,7454794.508000001,5888056.984999999,7428203.441,8817369.558,16872966.13,14409527.54
XP_044470772.1,1268314282.0,1055858736.0,971764382.6,932005093.4,1040955114.0,977034451.1
XP_044474123.1,52613309.72,47501159.0,41939450.52,37287574.35,38877568.45,43780528.85
XP_044504660.1,61451373.04,26580434.57,20804423.39,29055738.1,57293975.74000001,55450410.7
XP_044487893.1,88172804.32,107182000.6,150728950.0,69211065.01,63031282.91,112092510.19999999
XP_044511240.1,145082780.2,155016615.8,114663518.8,74663363.42,120120923.5,117646617.19999999
XP_044496382.1,38595985.35,52402017.2,34351050.39,37525729.46,30339138.89,23950419.1
XP_044461979.1,188934854.6,112187796.6,119477512.6,104449124.5,98484844.11,110452327.5
XP_044461408.1,249938302.3,264766215.1,262735085.3,532320179.1,285049332.0,458225175.5
XP_044505396.1,13773673.05,21615380.16,17728574.65,10489027.43,17113080.84,15132213.23
XP_044505606.1,6417988.498,11970404.72,6685631.894000001,13501011.54,3384779.267999999,11925400.11
XP_044493245.1,5140990.589,6835357.065000001,4333641.153000001,3579757.489,2264370.015999999,3152008.0209999997
XP_044468053.1,63181198.31,49997868.58,59636641.25,59021100.75,96990142.05,64286572.1
XP_044480162.1,70456157.05,53962461.4,53971461.0,43230216.49,56766665.46000001,76970064.92
XP_044499780.1,1310764.1380000003,1552473.004999999,522763.9417000003,1472395.3650000002,6677061.596999999,5233133.759
XP_044463054.1,25738181.15,17949435.36,23330362.98,12472555.35,14082114.37,23338918.18
XP_044466486.1,137940564.8,159242120.6,90967752.08,141718262.7,88402608.77,70525573.69
XP_044463794.1,295944471.3,224044204.7,269407156.2,205571374.1,234920288.8,214685387.2
XP_044499690.1,3215802.4800000004,14616087.18,7064439.76,9294691.806,7031957.171,8265485.721999999
XP_044475846.1,235741550.2,186001408.2,222565897.6,119403144.29999998,167305418.1,332271778.7
XP_044508604.1,5477665.748,14628071.82,9462405.946,9260579.209,5461549.41,17192641.31
XP_044506447.1,174985368.0,102979686.4,125042983.2,71203185.3,98731826.04,123651842.6
XP_044500887.1,95953017.97,99280315.95,64962760.71000001,50272149.08,31355729.16,42556704.67
XP_044494603.1,37313977.68,60228972.11,48645237.56,40205821.1,42408017.41,53718930.81
XP_044487168.1,165892257.9,170043802.7,178960575.3,149743787.9,210200462.9,232172720.2
XP_044464251.1,231261470.1,252988822.4,227857489.7,270602280.9,217671945.2,219714867.1
XP_044502929.1,73466533.86,65965852.53,46401483.04,73411262.8,68870066.13,77370930.93
XP_044477426.1,125223529.6,132403723.5,131062669.8,103653524.0,132492164.2,113489997.9
XP_044463503.1,122917539.6,127295675.8,86876866.71,119633546.5,123317191.3,111899119.5
XP_044511708.1,61220798.11,75372871.6,49129104.15,29100211.34,31452294.65,67187616.71
XP_044489932.1,1462812.2219999991,3391223.6950000003,2459766.949000001,5748679.495000001,6804408.596999999,5502238.387
XP_044471789.1,12585070.22,5471005.229,2475910.739,3991351.438000001,3234103.1380000003,16467432.73
XP_044492230.1,96458287.09,113539836.7,103880176.3,97149025.35,74049987.3,110434578.5
XP_044484207.1,8534177.359,9461228.617,9801265.912,7934187.188999999,6679032.409,8016781.379000001
XP_044496234.1,2781571.074000001,8091992.52,2358933.256000001,1404169.0940000005,1759214.9810000006,2843252.278000001
XP_044462356.1,2925291.6109999996,2526982.232000001,1384321.6339999996,6126956.4629999995,2705232.228,5545524.368999999
XP_044502159.1,67130752.4,68737106.35,84038508.22,99683681.38999999,126049522.3,85491382.00999999
XP_044468338.1,3022573.4189999998,2679628.6449999996,1734898.9140000008,4341607.774,14129805.39,5969698.831
XP_044507943.1,197577694.2,202027447.3,147265444.7,134489624.0,149960820.8,165418201.3
XP_044472099.1,144616459.6,183932028.0,240159904.7,140367832.9,188580950.3,110911762.0
XP_044481224.1,144595340.3,168382685.5,168697452.3,383236446.4,190529444.7,134396334.5
XP_044489052.1,92313423.64000002,127204441.1,89686933.86,166534142.7,125493773.9,135404011.1
XP_044508899.1,1167419.8249999993,6419699.398164999,203627.35550000146,1942362.0069999993,3070980.618999999,1178296.169999998
XP_044477815.1,32568983.73,25721947.5,25017900.31,29872576.21,37591665.02,31738742.9
XP_044506030.1,12755294.15,8135233.677000001,23132731.0,10450352.71,31460324.1,18757298.23
XP_044468668.1,126765773.4,85801802.28,146637671.8,154074397.6,138241714.6,137447842.5
XP_044470272.1,38776874.23,37645429.39,53128523.760000005,36918523.91,39605572.49,34573600.44
XP_044483056.1,145156590.5,125433602.0,194014342.90000004,101956353.29999998,116168127.1,189772909.9
XP_044506536.1,69133815.62,72697228.26,61175883.120000005,65866222.79,70148591.24,67867747.7
XP_044494416.1,47188985.39,35427229.91,71818515.67,57941028.21,51229865.41,36856996.52
XP_044509248.1,87121985.34,57745125.97,86373546.93,82570175.31,60310119.67,69273224.6
XP_044485794.1,136308184.9,176790317.8,193826634.7,138937222.4,133422288.3,154901161.3
XP_044497046.1,372958.0256000012,470224.42969999835,282136.35350000113,1468812.3279999997,1325434.012,412677.10080000013
XP_044501821.1,54111879.56,52154118.27,69569347.13,52578848.16,64390708.0,83069946.62
XP_044502212.1,44686992.84,44503401.51,39367980.09,24741755.53,36568491.95,37433809.13
XP_044473378.1,49729206.99,132440735.9,99829788.23,132070802.6,119342743.7,74449685.75
XP_044508294.1,54663833.0,45986033.03,48447642.05,31205216.8,33089373.93,58731488.47
XP_044511909.1,45100311.66,45600483.37,47269260.63,24007519.22,29109525.11,28658033.49
XP_044466296.1,26644391.25,33123705.53,35363105.0,44351127.08,30063754.77,30527342.68
XP_044492971.1,129110451.4,125087589.4,129690014.7,99021787.48999998,120094894.5,116479675.0
XP_044472115.1,15629983.26,31592354.54,21873927.59,17553276.17,28615811.74,33100625.37
XP_044493430.1,63793303.4,52703253.97,81344877.18,84027198.44,83133615.71,49470565.57
XP_044486894.1,2473335.153000001,1745807.3210000005,631519.7776000015,2023525.9340000004,1315110.2809999995,2734669.3049999997
XP_044477208.1,58028541.64,40639297.6,47849244.47,63813344.06,55870442.730000004,36217951.93
XP_044471667.1,33962661.8,33607178.31,44171796.79,41031281.21,35118604.2,24463940.5
XP_044471828.1,8634019.76,6826164.348000001,8032926.232999999,4152242.9700000007,3119156.8159999996,4514016.704
XP_044478175.1,120046583.39999998,182995390.7,121812605.7,67931600.87,51048321.09,157147054.6
XP_044512281.1,67555483.24,87761286.9,75651902.44,34197954.81,100732623.8,71957693.7
XP_044489446.1,29192525.19,41735784.09,25866548.04,32069065.39,34415377.51,25972056.77
XP_044483717.1,29940769.86,49881301.54,19114998.53,45315961.42,11775622.69,26416664.61
XP_044493022.1,28683792.63,34291823.54,34269195.78,37798482.59,43064114.57,24641480.09
XP_044483130.1,4496520.149,3078326.692,3464218.103,4381084.877999999,2224357.131000001,5169510.324000001
