lineage_3,log2FC Large/Lung,log2FC Giant/Large,log2FC Small/Giant,transformed_pval,adjusted_p_values_BC2,adjusted_p_values_bh2,adjusted_p_values_by2
anthranilic acid,-0.02477037723925927,0.06575782622972366,-0.09428263590221088,1.9537594628117618,-0.0,1.6309607223856089,0.8531326607609766
kynurenic acid,-0.05586383149042974,0.028666194316854438,-0.12308167633685017,5.601255511207344,3.2490729930959814,4.476436312007479,3.698608250382847
5-adenosylhomocysteine,0.01637760710202191,0.06958328961328267,-0.03441003285128053,1.3541853815707772,-0.0,1.1069424651840756,0.32911440355944327
carnosine,-0.07112820015165318,0.010825689098154184,-0.037946147853459775,6.218827458477005,3.8666449403656427,4.820887449804967,4.043059388180335
N-carbamoyl-beta-alanine,0.0470509078207419,-0.09476589455380482,-0.0060227890428041185,1.3140843625085912,-0.0,1.079173140052993,0.3013450784283607
thiamine,-0.01917436184002508,-0.058277050869219735,0.05908264995596627,0.3905769862657736,-0.0,0.3306505395108871,-0.0
niacinamide,-0.028676657999708477,-0.007145955782872987,0.003321860503201468,0.6137789831335357,-0.0,0.5071091328363231,-0.0
betaine,0.003117774767435759,0.0034846051673129634,0.0029807858126630364,0.5621142873898817,-0.0,0.46035177158741325,-0.0
choline,-0.05741002472682604,0.07540572863405978,0.016487245963924098,2.3384566231160138,-0.0,1.96854533804422,1.1907172764195875
alpha-glycerophosphocholine,0.0239598704620893,0.012257905119564328,-0.06299290605930892,0.37472942151804556,-0.0,0.3192120936682142,-0.0
acetylcholine,0.03020562008516998,-0.15696036668344626,0.26625018832404584,3.0773361342677283,0.725153616156366,2.5943853358873423,1.8165572742627099
creatine,0.0476651515849584,-0.005917977508843833,-0.058664279169782944,1.3077509147219193,-0.0,1.0761423278164068,0.2983142661917745
creatinine,0.003912920418785429,-0.009588725617584117,-0.07263016471321763,4.374258429950041,2.0220759118386784,3.613140518865178,2.8353124572405455
