id,T0_1,T0_2,T0_3,T6_1,T6_2,T6_3
XP_044502212.1,44686992.84,44503401.51,39367980.09,24741755.53,36568491.95,37433809.13
XP_044473378.1,49729206.99,132440735.9,99829788.23,132070802.6,119342743.7,74449685.75
XP_044508294.1,54663833,45986033.03,48447642.05,31205216.8,33089373.93,58731488.47
XP_044511909.1,45100311.66,45600483.37,47269260.63,24007519.22,29109525.11,28658033.49
XP_044466296.1,26644391.25,33123705.53,35363105,44351127.08,30063754.77,30527342.68
XP_044492971.1,129110451.4,125087589.4,129690014.7,99021787.49,120094894.5,116479675
XP_044472115.1,15629983.26,31592354.54,21873927.59,17553276.17,28615811.74,33100625.37
XP_044493430.1,63793303.4,52703253.97,81344877.18,84027198.44,83133615.71,49470565.57
XP_044486894.1,2473335.153,1745807.321,631519.7776,2023525.934,1315110.281,2734669.305
XP_044477208.1,58028541.64,40639297.6,47849244.47,63813344.06,55870442.73,36217951.93
XP_044471667.1,33962661.8,33607178.31,44171796.79,41031281.21,35118604.2,24463940.5
XP_044471828.1,8634019.76,6826164.348,8032926.233,4152242.97,3119156.816,4514016.704
XP_044478175.1,120046583.4,182995390.7,121812605.7,67931600.87,51048321.09,157147054.6
XP_044512281.1,67555483.24,87761286.9,75651902.44,34197954.81,100732623.8,71957693.7
XP_044489446.1,29192525.19,41735784.09,25866548.04,32069065.39,34415377.51,25972056.77
XP_044483717.1,29940769.86,49881301.54,19114998.53,45315961.42,11775622.69,26416664.61
XP_044493022.1,28683792.63,34291823.54,34269195.78,37798482.59,43064114.57,24641480.09
XP_044483130.1,4496520.149,3078326.692,3464218.103,4381084.878,2224357.131,5169510.324
XP_044468378.1,73432137.9,57449550.08,80008945.76,70714081.84,46164525.83,57512690.43
XP_044493250.1,27100507.96,20167610.93,30440769.42,27391403.75,19777508.4,27413416.46
XP_044482901.1,57751883.61,65290804.71,77828222.03,24449824.16,46686847.72,53621573.31
XP_044494087.1,437638615.1,872795580.8,523499727.9,748518982.5,681662275,647138020.2
XP_044499255.1,137309801,132793537.4,103628792.2,269471887.4,199657236.5,194965860.3
XP_044508675.1,52314016.17,45998388.42,62506331.97,32691275.28,37325483.06,30838854.2
XP_044489811.1,29079987.71,19248291.95,22490599.35,11282872.04,25093782.24,33922698.62
XP_044471185.1,133040727,126898317.5,100771607.7,66580450.49,77380661.64,133518632.1
XP_044471960.1,87326220.96,74289971.71,82194853.32,58370978.43,82235547.61,81868952.58
XP_044487544.1,43092646.76,25498258.69,40605384.46,38951535.87,44978694.61,28667557.99
XP_044503287.1,39092596.27,24942692.73,42368376.47,26806129.21,24410437.69,27694487.7
XP_044511611.1,66568247.93,74066223.3,103077152.7,61566813.31,75524857.37,113258858.8
XP_044480698.1,4261680.948,5364367.835,6049789.993,1146993.557,1831549.837,880939.7568
XP_044462996.1,46469917.02,34456688.97,29899187.89,27647749.87,17544216.45,37533273.26
XP_044477178.1,101387744.6,110039377,58479843.17,50208749.7,42564793.65,74871449.69
XP_044466064.1,1185983.343,6182819.264,4353879.398,2856293.247,1739868.837,2275732.453
XP_044472368.1,47526054.86,67695626.75,53528726.42,52077722.21,55339766.06,42341572.78
XP_044475517.1,14807407.92,23685085.02,27693322.74,14050901.11,14049959.42,13440229.42
XP_044501161.1,21300639.43,12091391.07,17051374.36,21292085.56,17747428.56,29813482.83
XP_044486641.1,8792076.401,8583658.729,5555411.974,4793285.492,6145572.816,6588356.415
XP_044469880.1,56841530.02,27303695.88,66138113.24,37501376.4,56411073.59,70920263.03
XP_044473520.1,8931306.846,7588630.041,9217932.158,16478414.71,15495786.64,11150193.23
